PassengerId,Survived_pred,Survived_prob
892,0,0.05432260913888127
893,0,0.4248971141582417
894,0,0.2010407197147758
895,0,0.2879333170545131
896,0,0.3140339769383798
897,0,0.08922403162014088
898,0,0.4859072595023619
899,0,0.053352437607497215
900,1,0.922603144484873
901,0,0.06380590621137142
902,0,0.07254589785332007
903,0,0.17557007565983723
904,1,0.9567548768212802
905,0,0.11045408691231172
906,1,0.9501202656052522
907,1,0.9253019604239571
908,0,0.1086463851798141
909,0,0.28539220196824544
910,0,0.42956298616873784
911,1,0.626410181212938
912,0,0.2896384628158691
913,0,0.41673783205232723
914,1,0.9524956636879783
915,0,0.27796328511596446
916,1,0.9795230609621527
917,0,0.06536361703967658
918,1,0.9773375932571949
919,0,0.28539220196824544
920,1,0.5447208119904634
921,0,0.15012685402484643
922,0,0.08403476129686252
923,0,0.11043842052864546
924,1,0.6340582219832371
925,0,0.11470045110430228
926,0,0.4991348988177432
927,0,0.22393368105317
928,0,0.2662197171015969
929,0,0.18633009879071005
930,0,0.08241560956237198
931,0,0.4512320896477097
932,0,0.09974119500158683
933,0,0.3280697056983624
934,0,0.0606985885453045
935,1,0.9395458401681701
936,1,0.9679886514790738
937,0,0.13041128952355632
938,0,0.19114727514572438
939,0,0.14132416497894754
940,1,0.986636466113147
941,1,0.7670627701202027
942,0,0.14644436906873629
943,0,0.29181864754922837
944,1,0.9393006688945532
945,1,0.914529623257505
946,0,0.13952198244672
947,0,0.05515975675399814
948,0,0.06153395732937563
949,0,0.10150033050516198
950,0,0.09099090888460469
951,1,0.9792403524593055
952,0,0.057324071462453205
953,0,0.2599932103444692
954,0,0.07674503936366915
955,1,0.8004375520866013
956,0,0.2036196087403553
957,1,0.9399720455505748
958,1,0.6248198691141131
959,0,0.06976626237391584
960,0,0.33865045091982854
961,1,0.8648269806129776
962,1,0.6409214917996783
963,0,0.05815636388074753
964,1,0.6395327987997861
965,0,0.2826761974386859
966,1,0.9792403524593055
967,0,0.24027779414943207
968,0,0.09835126421297928
969,1,0.9591184361251711
970,0,0.11008533514428087
971,1,0.6409214917996783
972,1,0.9477936270535092
973,0,0.05618005788666854
974,0,0.20870538445892567
975,0,0.07254589785332007
976,0,0.12595954955878363
977,0,0.08221673174400965
978,1,0.8503482565615748
979,0,0.26722541706998104
980,1,0.7125057957001226
981,1,0.9634677881494189
982,0,0.4472525794560527
983,0,0.13680576962207108
984,1,0.8783546582657964
985,0,0.09835126421297928
986,0,0.33011591332436907
987,0,0.11860130487666894
988,1,0.9617469662500392
989,0,0.23876675455472493
990,0,0.3754064421449849
991,0,0.09244044597327598
992,1,0.9792499899699424
993,0,0.13526892074019212
994,0,0.14132416497894754
995,0,0.209738980976143
996,0,0.328232498311792
997,0,0.09906674250012246
998,0,0.10156261535152437
999,0,0.14132416497894754
1000,0,0.09835126421297928
1001,0,0.08963750259235925
1002,0,0.08419605640067017
1003,1,0.7270351707917593
1004,1,0.9582530658676532
1005,1,0.8231409626932941
